experiment_id,model_params,data_size,runtime_seconds,tokens_per_second,source
2404,6291456,351272960,254.24514729110524,1381630.9327540477,isoflops
2447,6291456,702545920,525.6128536269534,1336622.4116326927,isoflops
2365,12288000,90177536,91.93423285079189,980891.8093258799,isoflops
2410,12288000,180092928,181.84296735189855,990376.0954994102,isoflops
2457,12288000,359923712,359.24441829510033,1001890.8956418125,isoflops
2573,12288000,694681600,697.1391777039971,996474.7674745651,isoflops
1592,14155776,16777216,18.0964527479955,927099.7047671884,throughput
1625,14155776,33554432,31.88942277012393,1052211.958864177,throughput
2588,17694720,482344960,509.3383320390713,947003.061931336,isoflops
2613,17694720,964689920,1070.290742895013,901334.451787021,isoflops
2330,21233664,52166656,66.59840490901843,783301.8834500021,isoflops
2414,21233664,104333312,133.59462009900017,780969.4127105111,isoflops
2466,21233664,208404480,249.85403084405695,834104.9343729534,isoflops
1529,24084480,8388608,11.019542645895854,761248.2903838368,throughput
1550,24084480,8388608,11.187560154125094,749815.6778095124,throughput
1553,24084480,16777216,21.54696715716273,778634.685690457,throughput
1496,24084480,16777216,21.498443059972487,780392.1406400427,throughput
1497,24084480,16777216,21.4885837979964,780750.195439325,throughput
1498,24084480,16777216,21.61913511500461,776035.48480327,throughput
1504,24084480,16777216,22.00462698098272,762440.3728588329,throughput
1505,24084480,16777216,21.87348482105881,767011.5730186554,throughput
1506,24084480,16777216,21.874663423979655,766970.2465734087,throughput
1507,24084480,16777216,21.75519495503977,771182.0571901343,throughput
1533,24084480,16777216,22.58188179400167,742950.3064911294,throughput
1556,24084480,33554432,41.970190037973225,799482.4891105108,throughput
2592,28901376,295436288,419.31342950899943,704571.4904622659,isoflops
2625,28901376,590610432,844.6602499450091,699228.3963149103,isoflops
2333,44040192,25165824,45.09633190697059,558045.9193868513,isoflops
2633,44040192,387710976,684.9641836150549,566031.0207079249,isoflops
2641,44040192,1162608640,2043.057421378791,569053.3353758575,isoflops
2669,50331648,1017380864,2169.9381138270255,468852.4790256297,isoflops
1593,58982400,16777216,34.545233192970045,485659.3645288857,throughput
1626,58982400,33554432,64.26287947199307,522143.300700113,throughput
2346,63700992,17563648,39.398512351093814,445794.70015223516,isoflops
2705,63700992,803733504,1753.1247536320006,458457.6781172483,isoflops
3101,63700992,1599078400,3336.581818451872,479256.4627538342,isoflops
2347,88473600,12582912,33.956641286145896,370558.2037388884,isoflops
2894,88473600,578813952,1462.7396744389553,395705.3754093383,isoflops
2993,88473600,1151336448,2919.5199834380765,394358.132340703,isoflops
1595,113246208,16777216,55.261998862959445,303594.0853606237,throughput
1631,113246208,33554432,107.40190869313663,312419.3266980947,throughput
2895,118947840,430440448,1411.6210856480177,304926.3377943964,isoflops
2994,118947840,856424448,2753.1202254612,311074.1187688353,isoflops
