batch_size,learning_rate,optimizer_steps,data_size,experiment_id,status,used_runtime_seconds,final_loss,last_3_average_loss
32,0.002121320343559643,512,8388608,1550,completed,11.187560154125094,5.34375,5.352213541666667
128,0.004242640687119286,128,8388608,1551,completed,10.847168316831812,6.3203125,6.33203125
512,0.008485281374238571,32,8388608,1552,completed,10.218268716940656,6.984375,7.0
32,0.002121320343559643,1024,16777216,1553,completed,21.546967157162726,4.90625,4.916015625
128,0.004242640687119286,256,16777216,1554,completed,21.030917723895982,5.845703125,5.863932291666667
512,0.008485281374238571,64,16777216,1555,completed,19.74531887494959,6.802734375,6.8125
32,0.002121320343559643,2048,33554432,1556,completed,41.970190037973225,4.5703125,4.578125
128,0.004242640687119286,512,33554432,1557,completed,41.149224382825196,5.095703125,5.110677083333333
512,0.008485281374238571,128,33554432,1558,completed,38.82870444195578,6.419921875,6.4296875
32,0.002121320343559643,4096,67108864,1562,failed,62.38239710999187,4.2607421875,4.296223958333333
128,0.004242640687119286,1024,67108864,1563,failed,61.01143245800631,4.517578125,4.56640625
512,0.008485281374238571,256,67108864,1565,failed,64.8517069350055,6.078125,6.106119791666667
