label,experiment_id,d_model,num_heads,num_hidden_layers,head_dim,intermediate_size,model_params,batch_size,learning_rate,optimizer_steps,data_size,status,runtime_seconds,tokens_per_second,final_loss,last_3_average_loss
448x10,1460,448,7,10,64,1280,24084480,256,0.0003,128,16777216,completed,22.06783905485645,760256.4056360495,7.181640625,7.181640625
448x10,1461,448,7,10,64,1280,24084480,256,0.001,128,16777216,completed,22.053242882015184,760759.5894063327,6.53125,6.536458333333333
448x10,1463,448,7,10,64,1280,24084480,256,0.003,128,16777216,completed,21.21132475102786,790955.5955097529,6.265625,6.274088541666667
448x10,1465,448,7,10,64,1280,24084480,256,0.01,128,16777216,completed,21.187298864941113,791852.5200851095,6.52734375,6.537109375
448x10,1466,448,7,10,64,1280,24084480,512,1e-05,64,16777216,completed,20.139443323016167,833052.6187298495,10.5,10.5
448x10,1467,448,7,10,64,1280,24084480,512,3e-05,64,16777216,completed,20.109321006922983,834300.4716183183,10.359375,10.359375
448x10,1468,448,7,10,64,1280,24084480,512,0.0001,64,16777216,completed,20.30460969696287,826276.2126626599,9.19921875,9.19921875
448x10,1469,448,7,10,64,1280,24084480,512,0.0003,64,16777216,completed,20.565501767094247,815794.1483754275,7.625,7.632161458333333
448x10,1470,448,7,10,64,1280,24084480,512,0.001,64,16777216,completed,21.21223699906841,790921.5798756545,6.876953125,6.880208333333333
448x10,1471,448,7,10,64,1280,24084480,512,0.003,64,16777216,completed,19.8299462699797,846054.5364865063,6.7890625,6.799479166666667
448x10,1472,448,7,10,64,1280,24084480,512,0.01,64,16777216,completed,20.052610400947742,836659.9492307027,6.748046875,6.760416666666667
448x10,1537,448,7,10,64,1280,24084480,512,0.004242640687119286,64,16777216,completed,20.568654293998407,815669.1128254955,6.74609375,6.751953125
448x10,1555,448,7,10,64,1280,24084480,512,0.008485281374238571,64,16777216,completed,19.74531887494959,849680.681596125,6.802734375,6.8125
448x10,1556,448,7,10,64,1280,24084480,32,0.002121320343559643,2048,33554432,completed,41.970190037973225,799482.4891105108,4.5703125,4.578125
448x10,1557,448,7,10,64,1280,24084480,128,0.004242640687119286,512,33554432,completed,41.149224382825196,815432.9152800484,5.095703125,5.110677083333333
448x10,1558,448,7,10,64,1280,24084480,512,0.008485281374238571,128,33554432,completed,38.82870444195578,864165.634219391,6.419921875,6.4296875
768x16,1605,768,12,16,64,3072,113246208,128,0.003,256,16777216,completed,57.95268050697632,289498.5331693219,5.818359375,5.841796875
