experiment_id,batch_size,learning_rate,total_train_tokens,n_evals,status,used_runtime_seconds,final_loss,last_3_average_loss
1450,128,1e-05,16777216,16,completed,19.66134286101442,10.4375,10.4375
1451,128,3e-05,16777216,16,completed,19.84387000906281,9.86328125,9.869791666666666
1452,128,0.0001,16777216,16,completed,21.066123188007623,7.8828125,7.884765625
1453,128,0.0003,16777216,16,completed,20.709992337971926,6.869140625,6.869140625
1454,128,0.001,16777216,16,completed,20.536428574938327,6.068359375,6.071614583333333
1455,128,0.003,16777216,16,completed,20.2594128040364,5.767578125,5.780598958333333
1456,128,0.01,16777216,16,completed,20.15492822311353,5.998046875,6.014973958333333
1457,256,1e-05,16777216,16,completed,20.676722435979173,10.4921875,10.4921875
1458,256,3e-05,16777216,16,completed,20.221080259187147,10.18359375,10.184895833333334
1459,256,0.0001,16777216,16,completed,22.013637501047924,8.6796875,8.682291666666666
1460,256,0.0003,16777216,16,completed,22.06783905485645,7.181640625,7.181640625
1461,256,0.001,16777216,16,completed,22.053242882015184,6.53125,6.536458333333333
1463,256,0.003,16777216,16,completed,21.21132475102786,6.265625,6.274088541666667
1465,256,0.01,16777216,16,completed,21.187298864941113,6.52734375,6.537109375
1466,512,1e-05,16777216,16,completed,20.139443323016167,10.5,10.5
1467,512,3e-05,16777216,16,completed,20.109321006922983,10.359375,10.359375
1468,512,0.0001,16777216,16,completed,20.30460969696287,9.19921875,9.19921875
1469,512,0.0003,16777216,16,completed,20.565501767094247,7.625,7.632161458333333
1470,512,0.001,16777216,16,completed,21.21223699906841,6.876953125,6.880208333333333
1471,512,0.003,16777216,16,completed,19.8299462699797,6.7890625,6.799479166666667
1472,512,0.01,16777216,16,completed,20.052610400947742,6.748046875,6.760416666666667
1473,1024,1e-05,16777216,16,failed,10.063484308077022,,
1474,1024,3e-05,16777216,16,failed,10.0659821620211,,
1496,32,1e-05,16777216,16,completed,21.498443059972487,10.296875,10.298177083333334
1497,32,3e-05,16777216,16,completed,21.488583797996398,9.171875,9.171875
1498,32,0.0001,16777216,16,completed,21.61913511500461,7.1796875,7.1796875
1504,32,0.0003,16777216,16,completed,22.00462698098272,6.203125,6.203776041666667
1505,32,0.001,16777216,16,completed,21.87348482105881,5.251953125,5.255208333333333
1506,32,0.003,16777216,16,completed,21.874663423979655,4.80859375,4.8203125
1507,32,0.01,16777216,16,completed,21.75519495503977,4.966796875,4.984375
1508,64,1e-05,16777216,16,completed,21.06315649393946,10.375,10.375
1509,64,3e-05,16777216,16,completed,21.002828750992194,9.42578125,9.42578125
1510,64,0.0001,16777216,16,completed,21.301988422870636,7.392578125,7.392578125
1511,64,0.0003,16777216,16,completed,21.400281965034083,6.548828125,6.549479166666667
1512,64,0.001,16777216,16,completed,21.292792252032086,5.623046875,5.625651041666667
1513,64,0.003,16777216,16,completed,21.152990566100925,5.177734375,5.186197916666667
1514,64,0.01,16777216,16,completed,21.058799792081118,5.28125,5.304036458333333
